nombre,username,contenido,comentarios,reacciones,compartido
Guillermo Lasso,@LassoGuillermo,·Primeros pasos del #PlanVacunación9100. Es un gusto compartir con ustedes este momento. Sigamos encontrándonos por la salud y trabajando en conjunto por el bien del país.#JuntosLoLogramos ,57,731,146
Guillermo Lasso,@LassoGuillermo,"·El #PlanVacunación9100 es 

SALUD
BIENESTAR
REACTIVACIÓN 
PROSPERIDAD

Con una gestión transparente y eficiente, cumpliremos nuestra meta. #JuntosLoLogramos",61,920,199
Guillermo Lasso,@LassoGuillermo,"·¡Sé parte del #PlanVacunación9100! Acudamos de forma ordenada y respetando protocolos Compartamos información oficial Motivemos a nuestros seres queridos para que se vacunen

Los invito a consultar su lugar de vacunación en .#JuntosLoLogramos ",49,756,266
Ministerio de Educación del Ecuador,@Educacion_Ec,"·#JuntosLoLogramos   En el #DíaDelEstudiante, ratificamos nuestro compromiso de garantizar una educación de calidad, inclusiva y flexible, a través de políticas públicas que promuevan la permanencia escolar, en beneficio de niños, niñas y adolescentes.",49,438,115
Guillermo Lasso,@LassoGuillermo,"·¡Felicidades @MorejonGlenda! Ella y más deportistas ecuatorianos siguen dejando su huella en el mundo con su talento inigualable.

Desde @DeporteEc, estamos comprometidos con apoyar cada paso de sus carreras deportivas. #GobiernoDelEncuentro#JuntosLoLogramosQuote TweetMinisterio del Deporte Ecuador@DeporteEcMay 29¡ORO PARA ECUADOR!@MorejonGlenda consigue el primer lugar en los 20.000 m marcha en el campeonato Sudamericano de Atletismo que se disfruta en Guayaquil.#JuntosLoLogramos #GobiernoDelEncuentro ",98,3.8K,620
Guillermo Lasso,@LassoGuillermo,"·¡Una buena noticia!@EmbajadaChinaEc me informó que hasta el 29 de mayo nos llegarían 700.000 dosis de vacunas. 500.000 adquiridas por Ecuador y 200.000 donadas por China, como motivo de nuestra investidura. #GobiernoDelEncuentro#JuntosLoLogramos",720,11.8K,1.8K
Guillermo Lasso,@LassoGuillermo,"·¡Primera visita a Guayas! Nos reunimos en la Gobernación con @VicenteTaianoA, donde establecimos las siguientes prioridades:Trabajo articulado para el desarrollo provincial Seguridad ciudadana  Atender todas las necesidades de los guayasenses #GobiernoDelEncuentro",160,2.2K,450
Banco Interamericano de Desarrollo,@el_BID,"·El Pdte. Claver-Carone se reunió hoy con el Pdte. de #Ecuador, @LassoGuillermo, para discutir cómo pueden trabajar en conjunto para el futuro del país, la recuperación pospandemia, vacunas, el crecimiento basado en #Vision2025 y las oportunidades disponibles para la región.GIF",27,724,152
Guillermo Lasso,@LassoGuillermo,"·En la reunión con el presidente del @el_BID, Mauricio Claver-Carone, establecimos una línea clara de prioridades para el desarrollo: 

◦ La erradicación de la desnutrición infantil
◦ Empleo para jóvenes 
◦ Apoyo a las zonas rurales

Gracias por la visita al Ecuador. ",145,2K,445
Guillermo Lasso,@LassoGuillermo,"·Agradezco a Mauricio Claver-Carone, presidente de @el_BID y a @KGeorgieva, del FMI, con quienes mantuvimos reuniones productivas, claves para planes de cooperación que llevaremos a cabo en el #GobiernoDelEncuentro.

¡Sacaremos adelante al Ecuador! #JuntosLoLogramos",251,3K,589
Guillermo Lasso,@LassoGuillermo,"·.@juancaholguin es “Embajador Itinerante Ad Honorem” para temas específicos. Sus misiones serán encomendadas por el Canciller del Ecuador, @MMontalvoEC. Es un honor trabajar junto a ecuatorianos comprometidos con el país en el #GobiernoDelEncuentro. #JuntosLoLogramos",154,2.7K,379
Guillermo Lasso,@LassoGuillermo,"·El #PlanVacunación9100 busca cuidar de la salud de los ecuatorianos y reactivar al país. Hoy nos reunimos con @ABorreroVega, la ministra @XimenaGarzon11, el consejero Carlos Cueva y autoridades para establecer lineamientos de logística y ejecución.#JuntosLoLogramos",305,3.5K,763
Guillermo Lasso,@LassoGuillermo,"·El Decreto que elimina los registros de crédito con deudas vencidas menores a $1.000 es clave para la reactivación económica de las familias ecuatorianas.

Reiteramos nuestro compromiso de una gestión responsable y solidaria.#GobiernoDelEncuentro#JuntosLoLogramos",262,3.6K,878
Guillermo Lasso,@LassoGuillermo,"·El #GobiernoDelEncuentro, a su servicio. #JuntosLoLogramos",372,8.9K,1.3K
Guillermo Lasso,@LassoGuillermo,·A trabajar por todos los ecuatorianos.#GobiernoDelEncuentro#JuntosLoLogramos,266,5.7K,781
Guillermo Lasso,@LassoGuillermo,"·Decretamos la eliminación de los registros de crédito con deudas vencidas menores a $1.000. 

Reincorporamos a la vida productiva a 1.7 millones de ecuatorianos. Es un acto de estricta justicia, que busca la reactivación económica. #GobiernoDelEncuentro #JuntosLoLogramos",831,14.8K,3K
