Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.91104859,86.63511637,82.52558184,79.65026354,79.93358865,74.40032444,70.49752691,64.92086331,63.10116086,65.07896716,68.55225312,65.85253456,66.16107669,67.7045177,63.78269618,61.0422996,67.81332165,65.24134891,76.50951199,77.55555556,73.51703023,71.29402901,73.33211479,,
Afganistán,AFG,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,4.132233215,4.453443266,4.87805112,9.171601094,8.888892562,11.25827913,8.571428776,6.772908423,8.899676645,10.09463699,9.784002283,10.92234226,14.76323124,12.94871808,14.02061893,12.67605689,13.21739125,11.66290433,10.84175028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.68583119,75.38894373,57.0849959,54.32133738,58.38034553,65.52626777,63.4678635,67.90578337,72.47502847,58.75730302,61.54311272,60.66994844,55.94013141,50.74708439,44.69503125,29.75459949,28.12448456,29.00410005,40.83628989,40.55687107
Albania,ALB,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,23.95749191,23.81050666,20.07291791,18.85207514,18.04033143,16.82037257,15.60618013,16.02992184,16.97939413,18.59335346,15.40506383,7.484818725,12.49959149,15.97882981,11.98369435,12.6408295,11.62043938,10.19726175,11.46711247,16.84176536,20.11536376,21.33343755,20.94565114,20.84745139,22.21755127,23.01299011,25.20959682,28.24786726,25.30240214,25.24071574,27.97944855,29.24150074,28.93748669,28.91635374,28.21297884,27.2673933,28.97786422,31.56982064,31.59157414,31.55555225
Andorra,AND,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,ARB,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,,,,,,,,,,,37.10739272,38.67657176,41.10681039,57.21917638,49.88043735,50.70079731,44.99291848,43.5775159,39.68763495,44.95082795,50.50453163,47.07204356,39.41314892,34.0300562,32.24831831,29.54067644,24.2488135,27.65665526,27.94605973,29.69348648,32.31721665,28.94634675,30.55242613,28.71937196,29.6679737,31.39458529,32.50092882,37.31151532,33.11770377,36.33452249,42.81252978,41.06407986,41.91002096,45.87025486,49.1393804,52.9103686,54.05409216,54.10795738,57.35412178,47.89995604,50.89469252,55.23430275,56.38375039,54.5185253,51.03063431,43.94671745,40.81737387,44.53291566,47.06282942,44.30389112
Emiratos Árabes Unidos,ARE,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.15922533,49.50334738,55.92319922,63.56772981,67.58531139,68.62779767,72.3840975,78.8678887,79.65331786,82.24241809,90.0765712,100.2464956,100.5477884,99.56083028,100.8704802,101.0030139,99.59493841,93.0481228,92.45625334
Argentina,ARG,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,7.604049108,5.994946995,4.691842759,7.890454203,5.563715605,6.225874438,6.652917384,7.495596226,6.484453463,6.398713317,5.601566676,6.007232881,7.197765839,7.612667721,6.902570798,5.824051799,9.175388297,9.615892413,8.608389938,6.510915467,5.061972681,6.92104948,9.090493079,9.151520687,7.589895312,11.73609802,8.161977544,7.873205813,9.531612973,13.05840891,10.35953659,7.675043348,6.598187472,6.909351534,7.529948726,9.68041026,10.42859676,10.5608501,10.41558196,9.827174515,10.98637523,11.57900808,28.382597,25.93094293,23.84761942,23.24587673,23.0266946,22.66275031,22.06090038,19.56098506,18.93382341,18.44920915,16.23785946,14.61717339,14.40547859,10.70565205,12.52709517,11.32028336,14.61983125,17.43970391
Armenia,ARM,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00298151,40.74538838,39.82075502,47.21897587,39.32803935,23.92792083,23.2400035,20.27326939,19.00301997,20.75824695,22.16141881,24.1458544,27.83210837,30.48299789,28.19074382,27.31319795,22.14598144,18.18935698,14.26572957,14.67090075,19.74841532,22.52318826,27.56181148,28.35348514,28.56038166,29.72539121,33.74427986,38.21604566,39.39289403,41.18896809
Samoa Americana,ASM,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7782101,97.34345351,89.84375,99.00596421,99.7983871,97.11538462,113.8543517,78.17109145,63.19444444,58.36236934,74.8447205,71.29485179,66.35514019,64.59909228,65.49079755,60.13289037,68.86792453,
Antigua y Barbuda,ATG,Exportaciones de bienes y servicios (% del PIB),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.214046,129.233534,121.4183979,110.8546114,113.6711161,111.7126836,107.7032397,98.60164934,97.09434137,91.6942192,94.27964727,101.3260741,93.02679218,82.64095288,77.28138357,79.66338577,79.79822041,79.58755308,82.4971839,79.01575994,80.59161544,82.20123997,76.03620877,72.61045999,67.45989696,71.74151276,
